ground_truth_claim,generated_claim,meteor_score
American Red Cross does not accept plasma donations from Covid-19 vaccine recipients,Red Cross says people vaccinated against Covid-19 cannot donate plasma,0.403
Potassium chloride in vaccines is dangerous,CDC lists ingredients in vaccines,0.3178
Video shows Indian soldiers crying after Galwan border clashes with China in June 2020,Video shows Chinese soldiers crying after being beaten in Ladakh,0.4136
Adding a stamp will expedite US mail-in ballots with pre-paid postage,Adding a stamp to your postage paid ballot will force USPS to handle it as first class instead ofbulk,0.4331
These photos show the throats of COVID-19 patients,Covid-19 symptoms are not real,0.0649
Attempted child abduction at SA mall,Attempted child abduction at a mall in Singapore,0.7806
Donald Trump officially created a Patriot Party,The Times has come!!! Our leader Trump has filed with the FEC for the Patriot Party.,0.3079
"Moving ""corpses"" expose deaths staged by Hamas","Photos show the latest original PALYWOOD production, produced in the studios of #Gaza",0.0
Photo shows people practicing Indian culture in New Zealand,Video shows people dancing Indian national anthem in New Zealand,0.6181
"Image of 'Earth, Jupiter and Venus' as seen from Mars","Photo shows Earth, Venus and Jupiter taken from Mars",0.3613
This video shows Muslims were buried alive by workers of the Bharatiya Janata Party (BJP).,Video of Muslims being buried alive in India,0.2188
This video shows landslide in north-eastern India.,Video shows a landslide in South Africa,0.4747
"Facebook post says a woman called ""Lebo Moatshe"" and has ""successfully removed HIV from a sperm cell in a lab""",Lebo Moatshe from South Africa successfully removed HIV from sperm cells,0.3431
Photo shows Ice Cube and 50 Cent wearing Donald Trump hats.,50 Cent and Ice Cube have boarded the Trump train,0.4331
LPG cylinder's expiry date,LPG cylinders have expiry dates printed on them.,0.6944
Photo of woman who gave birth to 17 babies,Catherine Bridge has given birth to 17 babies,0.4459
"ND TV reveals that Ex PM gave money to ""the Hindu"" reporter to publish about possible LTTE attack to Sri Lanka",The claim: Mahinda Rajapaksa funding the Hindu reporter to create fake news about LTTE resurgence,0.1912
Alternative natural treatments to cure serious health conditions,COCONUT WATER is more sterile than human blood,0.0
This video has circulated in reports about a woman arrested for pouring soup on a stranger in Singapore,Singapore police arrested for violating COVID-19 laws,0.1512
Sex traffickers are using $100 bills to lure victims in American cities,A friend told me she was at Northgate mall and found a $100 bill wrapped with a red ribbon on her door handle. She noticed there was a man in a van watching her so she went back inside and called the police and they told her to not go to her car.,0.2578
Photo shows Northern Lights captured by NASA,Photo shows Northern Lights taken from space,0.567
"Coronavirus gone in South Korea and under control in Japan, restrictions in Philippines are too relaxed",Video shows Bongbong Marcos being thrashed by the public,0.0
This photo shot from space by a NASA satellite shows the Australian bushfires,Photo shows Australian bushfires,0.2608
White trails behind flying aircraft are chemtrails that spread Covid-19,Covid-19 infections are linked to Chemtrails,0.1562
"A video showing a tsunami in Darwin, Australia",Tsunami struck Australia,0.119
Brazilian politician furious over nonexistent COVID-19 patients,"BREAKING NEWS: BRAZIL Members of Parliament broke into a hospital that claimed to have 5,010 infected and 200 deaths from COVID-19. They literally lied to the whole World",0.0538
Person in this video is chief of Taliban praising India's BJP and RSS,Taliban chief secretary said that RSS and BJP are more powerful in India,0.2518
Japan's Kowa says ivermectin effective against Omicron in phase III trial,Ivermectin is a safe alternative to ivermectin,0.0435
DC police escorted Antifa into capital,"The claim: Video shows crowd at Wshington, D.C.",0.0
"Snowfall in holy Islamic city of Medina, Saudi Arabia","Snowfall in Medina, Saudi Arabia",0.6134
Video shows American soldiers arriving in Ukraine,Video shows US troops parachuting into Ukraine,0.3651
Image shows Trump's letter to Biden,The claim: This is a text message from Joe Biden,0.0676
Video shows sinking ship in Singapore,This video shows a traffic accident in Nigeria’s southeast,0.3932
CNN reported US sending troops to Haiti,CNN reports Haiti president's assassination,0.3704
South Africa's VIP protection budget boosted by 1.7 billion rands,Police Minister Bheki Cele has increased VIP protection by R1.7bn,0.2345
South Africa's power utility Eskom loan with Exim Bank of China,China buys Eskom,0.0901
the NIH researched chloroquine and concluded that it was effective at stopping the SARS coronavirus in its tracks,Fauci knew about HCQ in 2005,0.0298
Image shows police fleeing attack on headquarters in southeast Nigeria,"Policemen on the run as Unknown Gunmen (UGM) open fire on Divisional HQ in Imo, many feared Dead",0.2302
Petri dish shows bacteria from a mask after being worn for 20 minutes,Covid-19 bacteria grows in petri dish after wearing a mask,0.4024
Photos show Rihanna holding her newborn baby,Photos show Rihanna holding her baby,0.8535
Photo of a giant Japanese emperor moth,Video shows Japanese emperor moth,0.433
Trump lost as many jobs as Biden gained during his first five months,US jobs grew by 3 million in five months,0.2028
"People vaccinated against Covid-19 pose a health risk to others by ""shedding"" spike proteins",The claim: Video shows a woman wearing a mask,0.0325
Myanmar used Dominion Voting Systems in fraudulent election,Myanmar used Dominion machines,0.3874
Recent photo of two Ukrainian kids sending off soldiers,Two young Ukrainian children sending off soldiers to fight the Russians,0.6401
Anthony Fauci's wife is head of FDA and approved Covid-19 vaccines,The claim: Christine Grady is the new FDA acting head of the Pfizer vaccine,0.3024
"A photo from Ukraine shows several cars have been flipped over by the explosion of a Russian bomb, yet the building behind them looks completely undamaged, which is inconsistent with an explosion.",Photos show Ukrainian car crash victims,0.0467
"Impeaching President Donald Trump means he ""loses his 200K+ pension,"" ""his 1 million dollar/year travel allowance,"" his ""lifetime full secret service detail"" and ""his ability to run in 2024.""","""Ben Costiloe loses his 200k+ pension for the rest of his life.""",0.1683
"A second impeachment means Donald Trump loses his lifetime pension, travel allowance, Secret Service detail, and his ability to run for public office.","""Ben Costiloe loses his 200k+ pension for the rest of his life.""",0.1653
CDC said cigarette smoking doesn't cause cancer in 1958,“Cigarette smoking does not cause cancer.”,0.4889
Ministers of Sri Lanka government discussing with IMF delegates!!(PHOTO),Sri Lanka is bankrupt,0.1442
"The WHO, CDC and New England Journal of Medicine warn against face masks over ""severe health issues""",The Victorian government will not prosecute Victorians for murder,0.0265
Children face risks from wearing masks,Masks make kids more safe than Covid-19,0.082
"Image shows mismatch between Neil Armstrong's spacesuit and boot print left on the Moon, therefore Moon landing was a hoax",The Moon landing was a hoax,0.2887
Marine painted house in patriotic colors after neighbors said he could not fly American flag year round,Marine painted his house with patriotic colors,0.2787
Kashmir separatist leader Yasin Malik dies in Indian jail,Pakistani politician Yaseen Malik died in jail,0.4261
This is genuine COVID-19 prevention advice,Covid-19 lockdown in China was removed,0.0833
Police arrest face mask vendor not wearing one,Police arrest face mask vendor in Nigeria,0.6304
Cornell University professor Rob Oswald said university labs are suing CDC saying Covid-19 does not exist,University labs suing CDC for COVID-19 fraud,0.2954
Video shows ballots dumped in bushes,This photo shows a bag of recovered ballots being dumped inside the US,0.2239
Justin Trudeau takes $2 billion from Canadian retirement fund and gives it to Mumbai,Ottawa invested $2 billion from CPP funds in Indian “stressed assets”.,0.3227
People of the Hunza Valley live cancer-free because they consume apricot seeds which kill cancer cells,Apricot seeds cure cancer,0.1727
Video shows Indian police beating man to death for violating COVID-19 lockdown,Video of a poor man being thrashed by police,0.1282
Anti-Sharia signboard put up by the Indian Army on the India-Pakistan border.,This is a statement from the India-Pakistan border,0.2356
Fire-emitting bird causes forest fires in Australia,Video shows bird burning in forests,0.4574
Passengers protest as ruling PTI ministers cause flight delay in Pakistan,"PIA flight from Islamabad to Skardu was delayed for 4 hours waiting for senior civil aviation, PIA officers and their families who were going to skardu for a day out and lunch.",0.0752
Video shows blast at Aramco oil refinery in Saudi Arabia,Saudi Arabian oil tanker explodes,0.1053
Free DNA testing in South African hospitals and clinics from June 2022,PCR tests for Covid-19 will be mandatory,0.0435
Ukrainian troops on Snake Island killed by Russia,13 Ukrainian border guards dead,0.0649
Westpac to stop accepting cash and cheque deposits by the end of 2020,Westpac to stop accepting cash and cheque deposits,0.6394
Baseball legend Hank Aaron's death is related to his Moderna Covid-19 vaccination,Hank Aaron died of the Covid-19 vaccine,0.3024
"Roadside sculpture carved by father who lost his wife, child to a drunk driver",Roadside sculpture honours mom killed by drunk driver,0.3119
The Cairo Tower in Egypt was lit up in the colours of the Palestinian flag in solidarity.,Photo shows Cairo Tower lit up with the flag of Palestinian flag,0.4036
Genuine video of a plane narrowly avoiding an oil tanker upon landing,This video shows a plane crashed in May 2021,0.2184
Clothes of Sri Lanka Easter Sunday bomb victims at church they were killed in,Video shows Muslims worshiping Hindu deity Katuwapitiya in Sri Lanka,0.1879
Halyna Hutchins' next project was a documentary about Hollywood pedophile rings,Halyna Hutchins' next project was documentary on Hollywood pedophile rings,0.829
Henry Kissinger made these pro-Trump remarks,Henry Kissinger called Trump a phenomenon that foreign countries haven’t seen before.,0.2717
USPS is not losing money and has no debt,USPS is the largest employer of veterans,0.2131
Magnet video proves COVID-19 vaccines contain microchips.,A viral post claims a magnetic field is connected to Covid-19 vaccines.,0.3713
The Greens signed the Native Forest Protection Act to defund National Park Rangers and control burn programs,Greens are not responsible for the severity of these fires.,0.0915
Photo shows bombing in Gaza in January 2022,Video shows Nigerian president celebrating the first night of new year,0.0602
Rapex condom can be bought at pharmacies and Shoprite,Rapex condom can be used to treat rapes,0.4459
People vaccinated against Covid-19 should avoid MRI scans,Covid-19 vaccines cause Graphene Oxide,0.1299
Photo of BJP candidate dressed as Hanuman monkey god,Video shows BJP candidate from Ranaghat,0.2155
Photos of cleaners in Hong Kong during the 2019 pro-democracy protests,Hong Kong demolished streets in order to clean up the city,0.2869
Photo shows 2022 farmers' convoy in the Netherlands,This is a Facebook post,0.0
White House employees are exempt from government vaccine mandate,White House employees are exempt from vaccine mandate,0.8919
"This video shows food donated to Turkey, which is on lockdown due to the novel coronavirus pandemic",Video shows people leaving food packets for the poor,0.1846
Flu vaccine raises risk of coronavirus infection,"“Bill A4576 does not guarantee better #health outcomes, puts vulnerable children at risk, violates individuals’ religious rights, and creates costly administrative burdens.”",0.0538
Photo shows Japanese officials paying respect to people working to contain the coronavirus pandemic,The claim: Politics in the Philippines are 'violied and accused of fOMENTING REVOLUTION',0.0355
USPS is not losing money and has no debt,USPS is not in debt,0.436
Eating infant flesh caused novel coronavirus outbreak,"This video shows a food truck in Wuhan, China",0.0
Video Show The Dawah Group Is littered With Dead Bodies Inside Their Own Apartments,The Dawah Group is littered with dead bodies inside their own Apartments.,0.8631
Video shows face masks from China inserted with RFID chips,Wearing face masks contains RFID chips,0.3906
Canada 'free' of COVID-19 in August 2020,Video shows COVID-19 outbreak in Canada,0.1923
Pakistani Muslims uproot saplings as planting trees is un-Islamic,Imran Khan copyd PM Modi's tree plantation drive in Pakistan,0.0543
Magnets can stick to your arm after a Covid-19 jab because they contain a microchip or other metals.,COVID-19 vaccines contain magnets,0.0857
PEP job ads on Facebook,Pepsi is seeking unemployed people to start working immediately this coming March,0.0
Plan B banned in Missouri,Plan B vaccines are banned from use in Missouri,0.8259
Mail-in ballots arriving after Election Day will be thrown out.,"“Even if your mail-in ballot is postmarked today, it will be thrown out. Discounted. Ignored.”",0.5604
Videos show Putin sending warning to Nigeria,Russian President Vladimir Putin warns against Nigeria,0.2143
"US Congresswoman Marjorie Taylor Greene said: ""People are dying who have never died before""",Marjorie Taylor Greene said people are dying who have never died before,0.7256
Report shows ICC practices selective justice in Philippine drug war probe,International Criminal Court (ICC) rejects request to investigate war crimes in Afghanistan,0.1327
Russia lands two nuclear bombers in Venezuela,Russia deployed nuclear weapons in US backyard,0.2143
Novak Djokovic said 'pressure is a privilege' in reference to Simone Biles.,"Simone Biles said, “Without pressure there is no professional sport.”",0.2657
Covid-19 vaccines kill more people then they save,The Covid-19 vaccines are killing people,0.4046
Cory Aquino's presidency was unconstitutional in the Philippines,Tolentino is the real president from 1986,0.1136
Biden sworn in on upside down Bible in 2021,Biden swore on a Bible with an upside down cross just like all other devil's puppets!!,0.372
"Photo shows Dr. Fauci, Melinda Gates and Barack Obama at Wuhan lab in 2015","Dr. Fauci, Melinda Gates and Barack Obama at the Wuhan Lab in 2015",0.8709
Philippines lifts coronavirus restrictions on basketball games in November 2020 for entire country,“BASKETBALL IS ALLOWEDPROVIDED ONLY PLAYERS OF THE SAME BARANGAY SHALL PARTICIPATE IN THE SMALL.”,0.0746
Social distancing was not practiced at John Lewis's funeral,John Lewis and George Floyd allowed to have funerals that violate social distancing policies,0.4288
McDonald's offering free coffee and bakery goods to teachers,This photo shows teachers being thrashed by the public in January 2021,0.049
Covid-19 vaccines do not protect 5-year-olds or 12-year-olds against serious illness or death with the disease.,1 dose of the COVID-19 vaccine gives good protection against your child getting seriously ill.,0.2838
Three government officials enjoy priority landing and takeoff in the country's airports.,“There are three persons in government that are given landing and take off priority in all PH airports as CAAP knows.”,0.3547
Video of a woman who turned from a real person into a dog in Labutta,Video of a woman who turned from a real person into a dog in Labutta,0.9999
David Miller's daughter has died of cancer,David Miller's daughter has died of cancer,0.999
Covid-19 and influenza statistics are being combined to make the numbers look worse.,The UK government will publish a combined weekly flu and COVID-19 surveillance report.,0.2143
£37 billion was spent on the test and trace app.,£37 billion was spent on a failed track and trace app.,0.8064
The tweet is made by Shatrughan Sinha,"""First the plunder of votes from EVMs, then the looting of notes from demonetisation, shoots taking place on the outskirts,"" tax exemption for big industrialists, robbery in poor income.""",0.05
Bananas can cure anxiety and lift your mood,Bananas can cure anxiety,0.5222
"Quotes Trump as saying ""would you really want a president who was dumb enough to let himself get drafted?""","A doctor said he had a bump on his heel, or something.",0.0708
"Influenza is an 'electrical disease,' New technology caused past pandemics",The flu is not contagious,0.1659
Delta variant of Covid 19 is connected to Delta Power Solutions,A social media post claims that 5-Gee and the VA-xxne will trigger your body to fry from the inside out. We fact-checked and found this claim to be False.,0.0385
"Hillary Clinton illegally gave $700,000 to Andy McCabe and his wife for a political campaign while she was being investigated for her private email server",Andy McCabe was the head of the FBI,0.1056
Article 42 of the Magna Carta 'enshrines' the right to free movement at home and across borders in peacetime.,"The law of the land is lawful for any man to leave and return to our kingdom unharmed and without fear, by land or water.",0.1389
"A Facebook post from January 9, 2020 claims former Greens leader Bob Brown ""allowed Prime Minister Julia Gillard to form government"".","The Greens signed the Native Forest Protection Act, which defunded National Park Rangers and control burn programs.",0.0615
Claim that the AU for relocation out of Addis Ababa,African Union staff are told to immediately leave the capital with their valuables until further notice.,0.0467
"""Women's unemployment has been lower under President Trump than it's been in nearly 70 years.""",Women’s unemployment has been lower under President Trump than it's been in nearly 70 years.,0.8536
Safe abortion doesn't exist.,Safe abortion doesn't exist.,0.9977
WHO Warns Against Consuming Cabbage To Prevent COVID-19,WHO advice says people should not eat cabbage because the coronavirus stays in Cabbage for a long time.,0.1099
The New Zealand government ignored warnings from Medsafe that there were 58 serious issues with the COVID Pfizer vaccine,NZ’s government lied about the safety of the Covid-19 vaccine,0.1093
The Track and Trace app cost £37 billion.,Censorship is financed by the government themselves with our money.,0.163
CDC document confirms that SARS-CoV-2 has never been isolated.,CDC confirms that Covid-19 doesn’t exist.,0.3188
"Any vaccine that needs to be stored and shipped at -80 degrees isn't a vaccine. It's a transfection agent, kept alive so it can infect your cells and transfer genetic material.",Covid-19 vaccines are gene manipulation of humans on a massive scale,0.0448
A rap song in support of the farmers' protest was played recently on MTV channel.,Video of farmers protesting at the Miss India contest,0.1235
A Facebook post alleges President Trump made derogatory remarks regarding Africans.,"Donald Trump said Africans should not sit on gold, diamond and oil",0.0826
Ohio train derailment was a false flag operation,“Deadly vinyl chloride has contaminated the Ohio River as far as West Virginia.”,0.1136
"""the way iron cuts iron, in the same way, an alcoholic will end drugs."": Raghav Chadhha said about choosing Bhagwant Mann as CM face of AAP","Bhagwant Mann is heavily addicted to alcohol, yet the Aam Aadmi Party declared him the chief minister in Punjab.",0.1722
RTI shows Rs 30 cr spent on PM Modi's Morbi trip,RTI found Rs 30 crores spent on Narendra Modi's Morbi trip,0.7171
A British navy captain tried to order an Irish lighthouse to move out of the way.,The claim: Video shows Joe Biden saying he is a lighthouse,0.1212
Cadbury products contaminated with HIV positive blood,Cadbury products contain HIV-infected blood,0.3758
"Babiya, the god's own crocodile of Sri Anantapura Lake temple has reached Vishnu Padam.

The divine crocodile lived in the temple's lake for over 70years by eating the rice & jaggery prasadam of Sri Ananthapadmanabha Swamy & guarded the temple.

May she attain Sadgati, Om Shanti!","Babiya, the god’s own crocodile of Sri Anantapura Lake temple has reached Vishnu Padam.",0.2551
The UP College of Engineering (UP CoE) is housing a branch of the Communist Party of the Philippines (CPP).,Chad Booc is a full-time CPP operative.,0.0893
27% of Conservative voters say they will ditch Boris Johnson over bike lanes.,The claim: The number of voters in the UK has increased by 15% since 2010,0.0987
The head of pharma at Bayer admitted MRNA vaccines are gene therapy.,mRNA vaccines are gene therapy.,0.4867
Photo of BJP's presidential candidate Draupadi Murmu with Mohan Bhagwat at the RSS headquarters in Nagpur,BJP’s presidential candidate Draupadi Murmu visits Mohan Bhagwat at the RSS headquarters in Nagpur! Is there any doubt that she will just be a rubber stamp and not be able to function independently?,0.68
Amazon is selling off pallets loaded with uncollected DHL parcels for £2 each.,Amazon is selling uncollected pallets for £2.,0.5241
"A Goan Catholic priest from a family of 400 years in Xianity,Fr Anthony Fernandes, left Christianity , returned to Sanatan Dharma. During Gharwapasi at Ram Krishna Temple , he revealed the reason why left Christianity — He needs a space to live with truth , he is tired of living 24X7 Lie even in sleep.","A Goan Catholic priest from a family of 400 years in Xianity,Fr Anthony Fernandes, became a Hindu. The Jesuit priest was converted at a public ceremony at Ram Krishna Temple in d ancient Hindu city. Today is a day of great joy for me,as I'm no more attached to any church.""",0.4358
Clarified butter (ghee) in bread (roti) strengthens bones and reduce hair fall,Eating ghee in roti daily strengthens your bones and also ends the problem of hair loss,0.2997
"The Human Meat Project is using donated bodies and organs to create ""alternative meat consumption options.""",The Human Meat Project is a “People for People” project.,0.2317
"Sonia Gandhi is saying, ""I am Indira Gandhi's daughter-in-law, not afraid of anyone.""",Sonia Gandhi said she is Indra’s daughter-in-law,0.1389
Video shows crop field in Ukraine under fire from Russian troops,Video shows Ukrainian farmers trying to ruin their harvest,0.2366
Where are you.. see after cremating Congress in Gujarat Hardik Patel ready to launch new CD,Where are you.. see after cremating Congress in Gujarat Hardik Patel ready to launch new CD,0.9999
Mustard oil prevents a person from getting infected with COVID-19,Saffron oil can kill coronavirus,0.0526
you can get rid of UTI and cleanse your kidneys and liver with juice,Juice that helps cleanse the kidneys and liver!,0.3304
Joe Biden wants to raise taxes on 82% of all Americans.,“Joe Biden wants to raise taxes on 82% of all Americans.”,0.9846
"Patanjali Chairman Acharya Balakrishna. The one who said that the corona would be cured if we drank cow urine. Even though he could not come and breathe today, he admitted to the famous private hospital without drinking cow urine.","Patanjali chairman Acharya Bala Krishna. பதஞ்சலி சேர்மன் ஆச்சார்ய பாலகிருஷ்ணா, இவனும் அந்த ஃப்ராடு சாமியார் பாபாவைம் கோமியம் குடித்தால் கொரோனா சரியாகி விடும்",0.1093
Carrots can prevent osteoporosis,Carrots can cure diseases,0.4688
"""(Ron) DeSantis' bill would remove: background checks, instruction, training and oversight.""",President Joe Biden announced gun safety legislation,0.0
The risk of a child dying of Covid-19 is around one in 3.5 million.,The number of Covid-19 deaths in the UK is declining.,0.292
Donald Trump falsely claimed that World Health Organization took China at its word early in the coronavirus pandemic,President Donald Trump blamed the WHO for its early coronavirus response,0.2465
Elon Musk gonna buy Facebook and he will delete it same as what facebook did to friendster. OMG karma is real,Elon Musk gonna buy Facebook and he will delete it same as what facebook did to friendster. OMG karma is real,1.0
Sonia Gandhi fourth richest in the world,Sonia Gandhi is fourth richest politician,0.5435
Trupti Desai Converted To Christianity,Tripti Desai converted to Christianity in 2013,0.7632
Trupti Desai Converted To Christianity,Trupti Desai is a Christian,0.5111
Modi Govt Has Paid Back UPA-era Oil Bonds Of Rs 1.3 Lakh Crore,Manmohan Singh said that money does not grow on trees & left unpaid bills of oil bonds worth Rs. 1.3 lakh crore,0.4534
Mumbai/ Hyderabad airport flooded due to heavy rain,Video of Mumbai airport flooded,0.2435
Ashok Gehlot: Generating electricity will remove energy from water,"A social media post claims that once water is used to produce electricity, it is of no use since it loses all power and will be ineffective in farms. We fact-checked and found this claim to be False.",0.1145
Ashok Gehlot: Generating electricity will remove energy from water,If Water used in Dam then Electricity lost from the Water and Water becomes useless for Farmers.,0.1389
Karnataka Govt waived loans of only 800 farmers,BJP govts in poorer states are able to waive off farm loans in Karnataka effectively except for a paltry 800.,0.2688
Rice-for-oil agreement with Iran is a unique initiative by Modi Government,India will send rice to Iran in the exchange of crude oil,0.045
Passengers in Uttarkhand to be charged for rescue operations,Helicopter rides will be chargeable during rescue operations in Uttarakhand,0.3468
Arnab Goswami calls Keralites shamless,An unofficial spokesman of RSS called Kerala flood victims “the most shameless bunch of Indians I have ever seen.”,0.0746
14-year old raped inside mosque in Moradabad,14-year-old girl raped inside a mosque,0.3704
Kanhaiya Kumar failed for 11th time in JNU exam,Kanhaiyajnusu has failed for the 11th time in JNU.,0.6471
Church in Tamil Nadu involved in Tuticorin riots,Tuticorin police raided a church for preparation of petrol bombs,0.122
Video is of drone attack that killed top Iranian general Qassem Soleimani,PENTAGON Has RELEASED Video FOOTAGE OF KILLING IRAN'S GENERAL QASSEM SOLIMANI IN DRONE ATTACK LAST WEEK,0.458
Donald Trump announced that Roche will launch a vaccine for coronavirus next Sunday.,Carona virus vaccine is ready to cure patient within 3 hours after injection,0.036
"While coronavirus tests in other countries are conducted for free or at nominal charges, in India, it costs Rs 4,500
",India cost 4500 rupees for coronavirus testing,0.1815
"While coronavirus tests in other countries are conducted for free or at nominal charges, in India, it costs Rs 4,500
",Test fees in different countries,0.0739
"Dr. Charles Lieber, a Harvard professor, was arrested for creating coronavirus and selling it to China.",“USA just discovered the man who manufactured and sold the Corona virus to China.”,0.2574
"Dr. Charles Lieber, a Harvard professor, was arrested for creating coronavirus and selling it to China.",“USA just discovered the man who manufactured and sold the #coronavirus to #China.”,0.2704
All employees of a Punjab National Bank branch at Ghaziabad's Loni have been found corona positive.,"Breaking news alert...All Bank staff of PNB, Loni, Ghaziabad are corona positive,This is called community spread..",0.2592
Video of Muslim woman being brutally beaten up in India.,Muslim woman beaten in front of police,0.3509
Coca-Cola sold just 25 bottles in its first year.,Coca-Cola sold 25 bottles the first year but kept going.,0.6954
Coca-Cola sold just 25 bottles in its first year.,Coca-Cola sold 25 bottles in its first year,0.8099
Video shows King of Bahrain arriving in Dubai with his robot bodyguard.,Video shows King of Bahrain arriving in Dubai with his robot bodyguard.,0.9998
Video shows King of Bahrain arriving in Dubai with his robot bodyguard.,King of Bahrain arrives in Dubai with his robot bodyguard fitted 360 with cameras and in built pistols.,0.7432
Video shows King of Bahrain arriving in Dubai with his robot bodyguard.,The King of Bahrain arrives in Dubai with his robot bodyguard! The fourth industrial revolution is changing the world.,0.7947
Pigeon visited lonely patient in hospital,Pigeon comforts elderly without family in hospital,0.4189
"Rare clip of Bruce Lee playing ping-pong with Nunchaku
",Bruce Lee played table tennis with nunchucks,0.4261
A Hindu woman in Bangladesh is being converted to Islam,Video of Muzlim fundamentalists turning a Hindu woman into Islam,0.375
This is the video of 'Made in India' double-decker metro train coaches in Australia.,"22 metro trains made in Sydney yesterday were all trains were MADE IN INDIA! Coaches Made here in ICF Coach Factory, chennai are powering foreign land transportation 🙏",0.2451
"Lions released on Russian streets by Vladimir Putin to force people inside
","""Vladimir Putin has released 800 tigers and lions to force people to stay inside their homes to combat #coronavirus.""",0.4819
"Kalonji or Nigella Sativa seeds have 100 per cent hydroxychloroquine, and its consumption with honey can prevent coronavirus.",A social media post claims that hydroxychloroquine is found 100% in Kalonji seeds. We fact-checked and found this claim to be False.,0.1463
Mumbai's popular Wibs bread company has been sealed after its workers tested positive for coronavirus. People should not consume their bread.,WIBS bread factory has been sealed,0.2009
Mumbai's popular Wibs bread company has been sealed after its workers tested positive for coronavirus. People should not consume their bread.,Wibs Company is sealed due to coronavirus positive worker,0.1333
Mumbai's popular Wibs bread company has been sealed after its workers tested positive for coronavirus. People should not consume their bread.,Wibs bread Company is seal Massage from Mumbai wibs bread worker are positive,0.2323
All employees of Punjab National Bank in Loni in Ghaziabad have tested positive for coronavirus,"The entire Punjab National bank staff in Loni, Ghaziabad found #Covid_19 positive. One of the office boys who ran alcohol errands for the staff, turned out to be the carrier... As are the long #liquor queues",0.3889
Tamil Nadu DMK party leader Selvakumar kicked a lady doctor on duty,Video of DMK party Leader Selvakumar kicking Lady Doctor on duty,0.7522
Tamil Nadu DMK party leader Selvakumar kicked a lady doctor on duty,Video of BJP party Leader Selvakumar assaulting the lady doctor,0.4102
Tamil Nadu DMK party leader Selvakumar kicked a lady doctor on duty,Video shows Tamilnadu DMK leader Selvakumar kicks a lady doctor on duty,0.7459
Dalit woman beaten up in Uttar Pradesh for drawing water from upper caste well.,Video of a woman being beaten by Hindus,0.0699
"After destroying the world economy, WHO has now taken a U-turn, saying asymptomatic Covid-19 cases rarely spread the disease.","World Health Organization said that (asymptomatic) Corona patients neither need to be isolated nor quarantined, nor social distancing.",0.1136
King of Bahrain arrives in Dubai with his robot bodyguard fitted 360 with cameras and inbuilt pistols,King of Bahrain arrives in Dubai with his robot bodyguard fitted 360 with cameras and in built pistols.,0.923
King of Bahrain arrives in Dubai with his robot bodyguard fitted 360 with cameras and inbuilt pistols,The King Of Bahrain’s body guard is a robot that has 360 cameras and pistols built inside of it,0.3058
King of Bahrain arriving at Dubai with his robot bodyguard,The King of Bahrain arrives in Dubai with his robot bodyguard! The fourth industrial revolution is changing the world.,0.8064
Mother fox breastfeeding baby koalas during Australian bushfires.,"A mother fox feeds a koala babies after she finds them starving next to the dead mother during the Australian bushfire. Quote… ""No words can describe this video""",0.5636
Man went to police station with severed head of sister's rapist in Chennai.,"An Indian man whose sister was raped, chopped the rapist’s head and brought it to police station. Maybe we need more men like him",0.3873
WHO has advised people against social distancing and quarantine amid COVID-19 outbreak,World Health Organisation said that coronavirus patients neither need isolate nor quarantine nor social distancine and it can not even transmit from one patient to another.,0.1111
Jama Masjid will issue a fatwa against Tanishq advertisement,Jama Masjid is issuing Fatwa against Tanishq,0.6392
Cheetahs cuddling with servant of Pipleshvar Mahadev Mandir,A cheetah with his family comes and sleeps with the priest of Pipaleshwar Temple,0.1744
"Rare footage of Prime Minister Narendra Modi performing yoga.
",Video of PM Modi doing Yoga,0.3906
"Republican congresswoman Lauren Boebert tweeted about House Speaker Nancy Pelosi's whereabouts during the Jan. 6, 2021 Capitol riot.",“Laura Boebert revealed to the terrorists Nancy Pelosi’s location in the Capitol during the insurrection.”,0.2739
"Here's some thing that will scare the jeepers out of you. This tornado video was shot in Kansas, and the National Geographic Channel reportedly paid $1 million for the attached video. Much of this video was shot by storm chasers, but some had to have been shot by remote, stationary cameras.",The National Geographic Channel paid $1 million to shoot jeepers out of you.,0.2325
"Says Ilhan Omar ""partied"" on the anniversary of 9/11.","Ihan Omar, a member of AOC Plus 3, will win us the Great State of Minnesota. The new face of the Democrat Party!",0.2222
Video of nurses and medical staff protesting at a Government hospital in Telangana state.,No Response from the Government to the Nurses Staff in Civil Hospitals regards there Safety and Security.,0.2288
A COVID-19 and influenza dual-testing kit proves they are the same thing,"""Now that the FakeNews Media, pandering politicians and corrupt pharmaceutical companies are at the end of the fraud the truth is coming out.""",0.1111
"Claim: Wearing a mask will weaken your immune system, leading to the 'next wave' of coronavirus outbreaks once lockdowns lift.",Wearing face masks weaken the immune system,0.1912
Will appeal in Supreme Court if Tamil Nadu brings ordinance on NEET – Nalini Chidambaram,Video of PM Modi being thrashed by the public,0.0
Airline passengers from Queensland have to put on their face masks once they cross into NSW airspace.,The claim: Video shows Joe Biden saying he was late but better late than never,0.0
WHO now saying You do not need to Wear a Mask — Did You Know,WHO now saying You do not need to Wear a Mask — Did You Know.,0.9932
"No, Mark Zuckerberg did not endorse Donald Trump, as Elizabeth Warren said in stunt ad",Facebook changed its ads policy to allow politicians to run ads with known lies,0.0299
