ground_truth_claim,generated_claim,meteor_score
ICC sends cautionary letter to Kenyan politician,ICC issues press release on Kenyan protests,0.1429
People vaccinated against Covid-19 should avoid MRI scans,MRI scans cause Electromagnetism and can cause death,0.2344
Video shows flooding at Karachi airport in July 2022,Video of plane taking off from Karachi airport,0.2871
Photo shows an actual fountain in Japan,Photo shows an actual fountain in Japan,0.9985
CDC said cigarette smoking doesn't cause cancer in 1958,CDC said cigarette smoking doesn't cause cancer in 1958,0.9995
Foot Locker donated $200 million to Black Lives Matter,Foot Locker donated $200 million to BLM after their stores in Minneapolis got looted by BLM,0.6533
Healthy people under 50 or recovered from Covid-19 do not need the vaccine,“Texas hospitalization rate for COVID-19 is higher than inpatient care in hospitals across the country.”,0.0741
"Photo shows aftermath of Beirut, Lebanon blast in August 2020","Photo shows aftermath of Beirut, Lebanon blast in August 2020",0.9996
Migrant workers stopped at Delhi-Uttar Pradesh state border during COVID-19 lockdown in India,Migrant workers stopped at Delhi-Uttar Pradesh state border during COVID-19 lockdown,0.8591
New Australian law passed in Parliament which revokes licenses from drivers who touch their phone,New Australian law passed in Parliament which revokes licenses from drivers who touch their phone,0.9999
PEP Stores recruiting workers in South Africa,"Pep Stores is offering a stipend of R20,000 for those who apply online",0.2467
"Photo shows a 2015 visit by then-US president Barack Obama, infectious diseases expert Dr. Anthony Fauci and philanthropist Melinda Gates to a laboratory in China's Wuhan",Barack Obama visited Wuhan laboratory in 2015 along with Dr Fauci and Melinda Gates,0.3602
The US Food and Drug Administration has approved a Pfizer monkeypox vaccine,The US Food and Drug Administration has approved a Pfizer monkeypox vaccine,0.9997
South Africa's President Ramaphosa dancing like he's on drugs,South African president Cyril Ramaphosa dancing like a Nyao boy,0.4092
Video shows made-in-China robot dancers at Shanghai Disneyland,Video shows made-in-China robot dancers at Shanghai Disneyland,0.999
Arizona canvassing results prove election irregularities in Maricopa County,'Lost votes' and 'ghost votes' in Arizona indicate 2020 election was stolen,0.1579
These photographs show the body of basketball star Kobe Bryant,Photo shows aftermath of Kenyan president Kobe Bryant’s funeral,0.4416
Canada adopts Chinese-style social credit system,Canada adopts Chinese-style social credit system,0.9977
Photo shows basketball legend Kobe Bryant's body,Photo shows basketball legend Kobe Bryant’s body,0.8541
US special forces seized Nancy Pelosi's laptop during the storming of the Capitol,"“White hats (good guys, part of special forces) got Nancy Pelosi’s laptop during the breach of the Capitol on Wednesday.”",0.6286
American Red Cross does not accept plasma donations from Covid-19 vaccine recipients,Red Cross says people vaccinated against COVID-19 cannot donate plasma,0.403
Potassium chloride in vaccines is dangerous,"CDC list of ingredients in Covid-19 vaccines includes alcohol, ethylene, and mercury",0.1471
Video shows Indian soldiers crying after Galwan border clashes with China in June 2020,Video shows Indian soldiers crying after Galwan border clashes with China in June 2020,0.9998
Adding a stamp will expedite US mail-in ballots with pre-paid postage,Adding a stamp will expedite US mail-in ballots with pre-paid postage,0.9996
These photos show the throats of COVID-19 patients,Fever can be used to diagnose Covid-19,0.0633
Attempted child abduction at SA mall,Attempted child abduction at SA mall,0.9977
Donald Trump officially created a Patriot Party,Trump has canceled his presidential election,0.0725
"Moving ""corpses"" expose deaths staged by Hamas",Video shows Palestinians tortured and killed in Gaza,0.0
Photo shows people practicing Indian culture in New Zealand,Photo shows people practicing Indian culture in New Zealand,0.9993
"Image of 'Earth, Jupiter and Venus' as seen from Mars","Photo shows Earth, Venus, and Jupiter from Mars",0.3613
This video shows Muslims were buried alive by workers of the Bharatiya Janata Party (BJP).,This video shows Muslims were buried alive by RSS workers in India,0.5144
This video shows landslide in north-eastern India.,Video shows a landslide in India,0.5718
"Facebook post says a woman called ""Lebo Moatshe"" and has ""successfully removed HIV from a sperm cell in a lab""",South African scientist achieves HIV breakthrough,0.0225
Photo shows Ice Cube and 50 Cent wearing Donald Trump hats.,Photo shows rappers Ice Cube and 50 Cent wearing pro-Trump hats,0.7423
LPG cylinder's expiry date,Gas cylinders have expiry dates printed on them.,0.4733
Photo of woman who gave birth to 17 babies,The claim: Woman who gave birth to 17 babies is world record holder,0.7358
"ND TV reveals that Ex PM gave money to ""the Hindu"" reporter to publish about possible LTTE attack to Sri Lanka",Sri Lankan journalist bribed Indian journalist,0.0235
Alternative natural treatments to cure serious health conditions,Drinking bottled water from fruit trees can prevent cancer,0.0
This video has circulated in reports about a woman arrested for pouring soup on a stranger in Singapore,A video of a woman arrested for pouring soup on a stranger in Singapore,0.6802
Sex traffickers are using $100 bills to lure victims in American cities,A $100 bill was stolen from Northgate mall,0.2337
Photo shows Northern Lights captured by NASA,Photo shows Northern Lights captured by NASA,0.9985
"Coronavirus gone in South Korea and under control in Japan, restrictions in Philippines are too relaxed",Senator Bong Go on May 4 blamed ABS-CBN for going off the air,0.0
This photo shot from space by a NASA satellite shows the Australian bushfires,A photo of bushfires in Australia,0.122
White trails behind flying aircraft are chemtrails that spread Covid-19,White trails behind flying aircraft are chemtrails that spread Covid-19.,0.9896
"A video showing a tsunami in Darwin, Australia",Video shows tsunami striking Australian town of Darwin,0.3546
Brazilian politician furious over nonexistent COVID-19 patients,"Brazil's parliament broke into a hospital that claimed to have 5,000 infected and 200 deaths from COVID-19",0.0617
Person in this video is chief of Taliban praising India's BJP and RSS,Taliban chief said if India is to be attacked then first remove BJP,0.1799
Japan's Kowa says ivermectin effective against Omicron in phase III trial,Japan has approved ivermectin as a treatment for Covid-19 symptoms.,0.084
DC police escorted Antifa into capital,"Washington, D.C., protesters vandalized statue of Abraham Lincoln",0.0
"Snowfall in holy Islamic city of Medina, Saudi Arabia","Snowfall in holy Islamic city of Medina, Saudi Arabia",0.9995
Video shows American soldiers arriving in Ukraine,Video shows US troops parachuting into Ukraine,0.3651
Image shows Trump's letter to Biden,White House declares victory in 2021 election,0.0
Video shows sinking ship in Singapore,Video shows sinking ship in Singapore,0.9977
CNN reported US sending troops to Haiti,CNN reports US troops in Haiti after assassination,0.6282
South Africa's VIP protection budget boosted by 1.7 billion rands,South African police minister says budget cuts disproportionate to VIP protection,0.2869
South Africa's power utility Eskom loan with Exim Bank of China,China bought Eskom in June 2019,0.0877
the NIH researched chloroquine and concluded that it was effective at stopping the SARS coronavirus in its tracks,“Fauci knew about HCQ in 2005 – nobody needed to die.”,0.0284
Image shows police fleeing attack on headquarters in southeast Nigeria,"Police fleeing attack on headquarters in Imo state, Nigeria",0.6918
Petri dish shows bacteria from a mask after being worn for 20 minutes,Petri dish shows bacteria from a mask after being worn for 20 minutes,0.9998
Photos show Rihanna holding her newborn baby,Photos show Rihanna holding her baby,0.8535
Photo of a giant Japanese emperor moth,Photo of a giant Japanese emperor moth,0.9985
Trump lost as many jobs as Biden gained during his first five months,Trump lost as many jobs as Biden gained during his first five months,0.9998
"People vaccinated against Covid-19 pose a health risk to others by ""shedding"" spike proteins",The CDC has released data showing that 7 out of 10 Americans are declining COVID-19 vaccine,0.0625
Myanmar used Dominion Voting Systems in fraudulent election,Myanmar elections used Dominion and Smartmatic machines,0.3995
Recent photo of two Ukrainian kids sending off soldiers,A photo shows children saluting Ukrainian troops,0.1705
Anthony Fauci's wife is head of FDA and approved Covid-19 vaccines,"Photo shows Christine Grady, the new FDA acting head who approved the Pfizer vaccine.",0.1613
"A photo from Ukraine shows several cars have been flipped over by the explosion of a Russian bomb, yet the building behind them looks completely undamaged, which is inconsistent with an explosion.",Polish media accidentally published footage of a man spitting on samothy during a rally,0.0456
"Impeaching President Donald Trump means he ""loses his 200K+ pension,"" ""his 1 million dollar/year travel allowance,"" his ""lifetime full secret service detail"" and ""his ability to run in 2024.""","Trump’s second impeachment means he loses a substantial pension, a travel allowance, Secret Service protection, and the “ability to run in 2024.”",0.4399
"A second impeachment means Donald Trump loses his lifetime pension, travel allowance, Secret Service detail, and his ability to run for public office.","Trump’s second impeachment means he loses a substantial pension, a travel allowance, Secret Service protection, and the “ability to run in 2024.”",0.659
CDC said cigarette smoking doesn't cause cancer in 1958,CDC said cigarette smoking doesn't cause cancer in 1958,0.9995
Ministers of Sri Lanka government discussing with IMF delegates!!(PHOTO),Picture of Ministers of Sri Lanka government discussing with IMF delegates!!(PHOTO),0.9857
"The WHO, CDC and New England Journal of Medicine warn against face masks over ""severe health issues""",Australian state to legalise 'murder on its own population',0.0
Children face risks from wearing masks,The chance of a child dying from Covid-19 rounds to zero.,0.0758
"Image shows mismatch between Neil Armstrong's spacesuit and boot print left on the Moon, therefore Moon landing was a hoax","Image shows mismatch between Neil Armstrong’s spacesuit and boot print left on the Moon, therefore Moon landing was a hoax",0.9498
Marine painted house in patriotic colors after neighbors said he could not fly American flag year round,Marine painted house in patriotic colors after neighbors said he could not fly American flag year round,0.9999
Kashmir separatist leader Yasin Malik dies in Indian jail,Kashmir separatist leader Yasin Malik dies in Indian jail,0.9993
This is genuine COVID-19 prevention advice,China removing lockdown on coronavirus victims,0.0
Police arrest face mask vendor not wearing one,Police arrest face mask vendor not wearing one,0.999
Cornell University professor Rob Oswald said university labs are suing CDC saying Covid-19 does not exist,“The COVID-19 virus does not exist”; “The virus has never been isolated”,0.2329
Video shows ballots dumped in bushes,Photos of recovered ballots thrown into bush,0.1639
Justin Trudeau takes $2 billion from Canadian retirement fund and gives it to Mumbai,"Recently, Ottawa invested $2 billion from CPP funds in Indian “stressed assets”.",0.3184
People of the Hunza Valley live cancer-free because they consume apricot seeds which kill cancer cells,People of Hunza Valley live cancer-free because they consume apricot seeds which kill cancer cells,0.9423
Video shows Indian police beating man to death for violating COVID-19 lockdown,Video shows Indian police beating man to death for violating COVID-19 lockdown,0.9997
Anti-Sharia signboard put up by the Indian Army on the India-Pakistan border.,Road sign with anti-Muslim message at India-Pakistan border,0.2044
Fire-emitting bird causes forest fires in Australia,Photo shows a bird which blazes in the forest during Ramadan,0.2027
Passengers protest as ruling PTI ministers cause flight delay in Pakistan,Image of a US-bound PIA flight delayed for 4 hours due to unavailability of passengers,0.2242
Video shows blast at Aramco oil refinery in Saudi Arabia,Video shows blast at Saudi Aramco refinery in JeM,0.7576
Free DNA testing in South African hospitals and clinics from June 2022,Free DNA tests will be available at all hospitals as of June 2022,0.4649
Ukrainian troops on Snake Island killed by Russia,"Video shows Ukrainian troops shouting ""Russian warship, go fuck yourself"" at the besieged Russian border",0.2083
Westpac to stop accepting cash and cheque deposits by the end of 2020,Westpac to stop accepting cash and cheque deposits by the end of 2020,0.9998
Baseball legend Hank Aaron's death is related to his Moderna Covid-19 vaccination,Hank Aaron died of myocarditis after receiving the COVID-19 vaccine,0.2953
"Roadside sculpture carved by father who lost his wife, child to a drunk driver",Foetus sculpture honours mom killed by drunk driver,0.2207
The Cairo Tower in Egypt was lit up in the colours of the Palestinian flag in solidarity.,Image shows Cairo Tower lit up with colours of Palestinian flag,0.4335
Genuine video of a plane narrowly avoiding an oil tanker upon landing,This video shows an aircraft nearly crashing after taking off from Karachi in May 2020,0.0813
Clothes of Sri Lanka Easter Sunday bomb victims at church they were killed in,Photo shows victims of Sri Lankan bombing,0.2373
Halyna Hutchins' next project was a documentary about Hollywood pedophile rings,Halyna Hutchins' next project was documentary on Hollywood pedophile,0.7486
Henry Kissinger made these pro-Trump remarks,"Henry Kissinger compared Donald Trump to a ""fossil fuel""",0.2885
USPS is not losing money and has no debt,The USPS isn't in debt and never was,0.3507
Magnet video proves COVID-19 vaccines contain microchips.,Video of muslim street food vendor adding his urine to drinking water,0.0595
The Greens signed the Native Forest Protection Act to defund National Park Rangers and control burn programs,A Greens/Labour/Greenpeace deal is responsible for the current and ongoing fires in Australia.,0.0898
Photo shows bombing in Gaza in January 2022,Video shows shoppers buying up infant formula at a Woolworths supermarket,0.0602
Rapex condom can be bought at pharmacies and Shoprite,Rapex condom can be removed by nurses,0.451
People vaccinated against Covid-19 should avoid MRI scans,Covid-19 vaccines cause graphene oxide,0.1299
Photo of BJP candidate dressed as Hanuman monkey god,"This video shows BJP candidate from Ranaghat, Uttar Pradesh",0.206
Photos of cleaners in Hong Kong during the 2019 pro-democracy protests,Bees cleaning up after a day of heavy construction in Hong Kong,0.3378
Photo shows 2022 farmers' convoy in the Netherlands,Post implies COVID-19 vaccine increases risk of ICU admittance,0.0
White House employees are exempt from government vaccine mandate,White House employees are exempt from vaccine mandate,0.8919
"This video shows food donated to Turkey, which is on lockdown due to the novel coronavirus pandemic",Food packets left on the road in Turkey during COVID-19 lockdown,0.1445
Flu vaccine raises risk of coronavirus infection,New Jersey's A4576 bill will require students to get an annual flu shot,0.0649
Photo shows Japanese officials paying respect to people working to contain the coronavirus pandemic,"Activists in the Philippines protesting against COVID-19 restrictions were ""the ones who voted against it.""",0.0347
USPS is not losing money and has no debt,USPS is not losing money and has no debt,0.9993
Eating infant flesh caused novel coronavirus outbreak,Photo shows a popular Philippine restaurant that serves fetuses and vegetarian food,0.0
Video Show The Dawah Group Is littered With Dead Bodies Inside Their Own Apartments,This video shows bodies Muslims who died of COVID-19 in New York,0.1852
Video shows face masks from China inserted with RFID chips,Video shows face masks from China inserted with RFID chips,0.9995
Canada 'free' of COVID-19 in August 2020,Canada ‘free’ of COVID-19 in August 2020,0.727
Pakistani Muslims uproot saplings as planting trees is un-Islamic,Locals in Pakistan opposed tree plantation because it was un-Islamic,0.1099
Magnets can stick to your arm after a Covid-19 jab because they contain a microchip or other metals.,"mRNA vaccines contain microchips or other tracking devices, cause magnetic reaction",0.2437
PEP job ads on Facebook,South Africa’s PEP job ads on Facebook,0.9222
Plan B banned in Missouri,Plan B contraceptive pills have been banned through new abortion legislation in Tennessee and Missouri.,0.6098
Mail-in ballots arriving after Election Day will be thrown out.,Ballots received after November 3 won’t be counted,0.1376
Videos show Putin sending warning to Nigeria,Putin warns Nigerian leaders not to tweet about Russia,0.2083
"US Congresswoman Marjorie Taylor Greene said: ""People are dying who have never died before""","Rep. Marjorie Taylor Greene said, 'people are dying who have never died before'",0.6528
Report shows ICC practices selective justice in Philippine drug war probe,Report shows ICC practices selective justice in Philippine drug war probe,0.9996
Russia lands two nuclear bombers in Venezuela,"Russia deployed nuclear weapons 'in America's backyard,' CNN reported",0.1333
Novak Djokovic said 'pressure is a privilege' in reference to Simone Biles.,Tokyo 2020 Olympics commentator Simone Biles says pressure is a privilege and that without pressure there is no sport,0.3076
Covid-19 vaccines kill more people then they save,Steve Kirsch said vaccines are killing people,0.1899
Cory Aquino's presidency was unconstitutional in the Philippines,Cory Aquino's presidency was unconstitutional in the Philippines,0.9993
Biden sworn in on upside down Bible in 2021,Joe Biden swore on a Bible with an upside-down cross,0.1648
"Photo shows Dr. Fauci, Melinda Gates and Barack Obama at Wuhan lab in 2015",Photo shows Barack Obama with Dr. Fauci at Wuhan lab in 2015,0.7303
Philippines lifts coronavirus restrictions on basketball games in November 2020 for entire country,Baseball is allowed provided that players of the same barangay shall participate in the same activity.,0.0373
Social distancing was not practiced at John Lewis's funeral,Social distancing was not practiced at John Lewis's funeral,0.9995
McDonald's offering free coffee and bakery goods to teachers,Aldi is offering free chocolate to teachers who share and comment on a Facebook post,0.4248
Covid-19 vaccines do not protect 5-year-olds or 12-year-olds against serious illness or death with the disease.,Two doses of the COVID-19 vaccine gives better protection against your child getting seriously ill.,0.2838
Three government officials enjoy priority landing and takeoff in the country's airports.,Three government officials enjoy priority landing and takeoff in the country's airports.,0.9998
Video of a woman who turned from a real person into a dog in Labutta,Video of a woman who turned from a real person into a dog in Labutta,0.9999
David Miller's daughter has died of cancer,David Miller's daughter has died of cancer,0.999
Covid-19 and influenza statistics are being combined to make the numbers look worse.,Covid-19 and influenza statistics are being combined to make the numbers look worse.,0.9998
£37 billion was spent on the test and trace app.,£37 billion was spent on the test and trace app.,0.9996
The tweet is made by Shatrughan Sinha,The tweet is made by Shatrughan Sinha,0.9985
Bananas can cure anxiety and lift your mood,Bananas can cure anxiety and lift your mood,0.999
"Quotes Trump as saying ""would you really want a president who was dumb enough to let himself get drafted?""",Jill Biden said he got deferred because of a medical condition,0.0718
"Influenza is an 'electrical disease,' New technology caused past pandemics",“Flu is an Electrical Disease.”,0.3233
Delta variant of Covid 19 is connected to Delta Power Solutions,Delta variant of Covid 19 is connected to Delta Power Solutions,0.9996
"Hillary Clinton illegally gave $700,000 to Andy McCabe and his wife for a political campaign while she was being investigated for her private email server",Andy McCabe was head of the FBI during Hillary Clinton's email investigation,0.2318
Article 42 of the Magna Carta 'enshrines' the right to free movement at home and across borders in peacetime.,Article 42 of the Magna Carta 'enshrines' the right to free movement at home and across borders in peacetime.,0.9999
"A Facebook post from January 9, 2020 claims former Greens leader Bob Brown ""allowed Prime Minister Julia Gillard to form government"".",The Greens signed the Native Forest Protection Act to defund National Park Rangers and control burn programs,0.0413
Claim that the AU for relocation out of Addis Ababa,Claim that the AU for relocation out of Addis Ababa,0.9995
"""Women's unemployment has been lower under President Trump than it's been in nearly 70 years.""","""Women’s unemployment has been lower under President Trump than it’s been in nearly 70 years.""",0.889
Safe abortion doesn't exist.,Safe abortion doesn't exist.,0.9977
WHO Warns Against Consuming Cabbage To Prevent COVID-19,WHO Warns Against Consuming Cabbage To Prevent COVID-19,0.999
The New Zealand government ignored warnings from Medsafe that there were 58 serious issues with the COVID Pfizer vaccine,New Zealand's government lied about the safety of Covid-19 vaccines,0.2044
The Track and Trace app cost £37 billion.,The claim: Post implies COVID-19 vaccine is financed by the government,0.1075
CDC document confirms that SARS-CoV-2 has never been isolated.,CDC document confirms that SARS-CoV-2 has never been isolated.,0.9995
"Any vaccine that needs to be stored and shipped at -80 degrees isn't a vaccine. It's a transfection agent, kept alive so it can infect your cells and transfer genetic material.",Covid-19 vaccine stored below 80 degrees celsius is “genetic manipulation” effort,0.0742
A rap song in support of the farmers' protest was played recently on MTV channel.,A rap song in support of the farmers’ protest was played recently on MTV channel.,0.9403
A Facebook post alleges President Trump made derogatory remarks regarding Africans.,A Facebook post alleges President Trump made derogatory remarks regarding Africans.,0.9997
Ohio train derailment was a false flag operation,"The claim: Reports indicate deadly vinyl chloride has contaminated the Ohio River as far as West Virginia, a water source for over 5 million Americans",0.101
"""the way iron cuts iron, in the same way, an alcoholic will end drugs."": Raghav Chadhha said about choosing Bhagwant Mann as CM face of AAP","'Iron cuts iron, likewise a drunkard will end the drug'",0.1908
RTI shows Rs 30 cr spent on PM Modi's Morbi trip,RTI shows Rs 30 cr spent on PM Modi's Morbi trip,0.9997
A British navy captain tried to order an Irish lighthouse to move out of the way.,A British navy captain tried to order an Irish lighthouse to move out of the way.,0.9999
Cadbury products contaminated with HIV positive blood,Cadbury products contaminated with HIV positive blood,0.9985
"Babiya, the god's own crocodile of Sri Anantapura Lake temple has reached Vishnu Padam.

The divine crocodile lived in the temple's lake for over 70years by eating the rice & jaggery prasadam of Sri Ananthapadmanabha Swamy & guarded the temple.

May she attain Sadgati, Om Shanti!",Crocodile in Sri Anantapura Lake temple has reached Vishnu Padam,0.1701
The UP College of Engineering (UP CoE) is housing a branch of the Communist Party of the Philippines (CPP).,A migrant Filipino worker named Chad Booc is part of a 'legal institution' for the Communist Party of the Philippines (CPP).,0.5316
27% of Conservative voters say they will ditch Boris Johnson over bike lanes.,27% of Conservative voters say they will ditch Boris Johnson over bike lanes.,0.9999
The head of pharma at Bayer admitted MRNA vaccines are gene therapy.,The head of pharma at Bayer admitted MRNA vaccines are gene therapy.,0.9998
Photo of BJP's presidential candidate Draupadi Murmu with Mohan Bhagwat at the RSS headquarters in Nagpur,Photo of BJP’s presidential candidate Draupadi Murmu with Mohan Bhagwat at the RSS headquarters in Nagpur,0.9348
Amazon is selling off pallets loaded with uncollected DHL parcels for £2 each.,Amazon is selling off pallets loaded with uncollected DHL parcels for £2 each.,0.9998
"A Goan Catholic priest from a family of 400 years in Xianity,Fr Anthony Fernandes, left Christianity , returned to Sanatan Dharma. During Gharwapasi at Ram Krishna Temple , he revealed the reason why left Christianity — He needs a space to live with truth , he is tired of living 24X7 Lie even in sleep.","A Goan Catholic priest from a family of 400 years in Xianity,Fr Anthony Fernandes, became a Hindu. The Jesuit priest was converted at a public ceremony at Ram Krishna Temple in d ancient Hindu city. Today is a day of great joy for me,as I’m no more attached to any church.”he said",0.4451
Clarified butter (ghee) in bread (roti) strengthens bones and reduce hair fall,Ghee in roti strengthens bones and ends hair loss,0.3741
"The Human Meat Project is using donated bodies and organs to create ""alternative meat consumption options.""",The Human Meat Project is using donated bodies and organs to create “alternative meat consumption options.”,0.894
"Sonia Gandhi is saying, ""I am Indira Gandhi's daughter-in-law, not afraid of anyone.""","Sonia Gandhi is saying, “I am Indira Gandhi’s daughter-in-law, not afraid of anyone.”",0.8349
Video shows crop field in Ukraine under fire from Russian troops,Video shows crop field in Ukraine under fire from Russian troops,0.9996
Where are you.. see after cremating Congress in Gujarat Hardik Patel ready to launch new CD,Where are you.. see after cremating Congress in Gujarat Hardik Patel ready to launch new CD,0.9999
Mustard oil prevents a person from getting infected with COVID-19,Photo of a Muslim shrine located at old Delhi railway station platform,0.049
you can get rid of UTI and cleanse your kidneys and liver with juice,you can get rid of UTI and cleanse your kidneys and liver with juice,0.9998
Joe Biden wants to raise taxes on 82% of all Americans.,Joe Biden wants to raise taxes on 82% of all Americans,0.93
"Patanjali Chairman Acharya Balakrishna. The one who said that the corona would be cured if we drank cow urine. Even though he could not come and breathe today, he admitted to the famous private hospital without drinking cow urine.",Patanjali chairman Acharya Balakrishna bhajan during the procession in street,0.1219
Carrots can prevent osteoporosis,Carrots can prevent Cancer,0.7361
"""(Ron) DeSantis' bill would remove: background checks, instruction, training and oversight.""","""(Ron) DeSantis' bill would remove: background checks, instruction, training and oversight.""",0.9999
The risk of a child dying of Covid-19 is around one in 3.5 million.,Covid-19 infections have increased after the vaccines,0.0704
Donald Trump falsely claimed that World Health Organization took China at its word early in the coronavirus pandemic,President Donald Trump falsely claimed that World Health Organization took China at its word early in the coronavirus pandemic,0.9944
Elon Musk gonna buy Facebook and he will delete it same as what facebook did to friendster. OMG karma is real,Elon Musk gonna buy Facebook and he will delete it same as what facebook did to friendster. OMG karma is real,1.0
Sonia Gandhi fourth richest in the world,Sonia Gandhi fourth richest in the world,0.9985
Trupti Desai Converted To Christianity,Tripti Desai converted to Christianity three years back..in 2013..closely connected to conversion racket...she is a CHRISTIAN in hindu garb...beware keralites..come to destroy #Sabarimala #JanamTV report exposes this..,0.3713
Trupti Desai Converted To Christianity,Trupti Desai is a Christian,0.5111
Modi Govt Has Paid Back UPA-era Oil Bonds Of Rs 1.3 Lakh Crore,Former Prime Minister Manmohan Singh left huge debts on the market due to high petrol prices,0.0
Mumbai/ Hyderabad airport flooded due to heavy rain,Images of floods at Mumbai airport,0.1282
Ashok Gehlot: Generating electricity will remove energy from water,"Once water is used to produce electricity, it is of no use since it loses all power and will be ineffective in farms",0.1316
Ashok Gehlot: Generating electricity will remove energy from water,"According to Great #ScientistGehlot , Water contains Electricity. If Water used in Dam then Electricity lost from the Water and Water becomes useless for Farmers.",0.1271
Karnataka Govt waived loans of only 800 farmers,Congress govts in Karnataka have waived off farm loans in less than 10 days,0.2326
Rice-for-oil agreement with Iran is a unique initiative by Modi Government,India to send rice to Iran in exchange for crude oil,0.0455
Passengers in Uttarkhand to be charged for rescue operations,Helicopter rides in Uttarakhand to be charged,0.4261
Arnab Goswami calls Keralites shamless,"Arnab Cowswamy, an unofficial spokesman of the RSS, calls victims of Kerala floods “the most shameless bunch of Indians I have ever seen.” Kerala’s cohesive multicultural society (50% Hindu, 28% Muslim, 18% Christian) threatens the Hindu fascist project.",0.1031
14-year old raped inside mosque in Moradabad,"Video of a 14-year-old victim of rape in Muradabad, Uttar Pradesh",0.1333
Kanhaiya Kumar failed for 11th time in JNU exam,Kanhaiya Janusu failed for the 11th time in JNU.,0.739
Church in Tamil Nadu involved in Tuticorin riots,TN police destroying a church for training terrorists,0.0625
Video is of drone attack that killed top Iranian general Qassem Soleimani,Pentagon released footage of Iranian General Hassim Sadiqi being killed in a drone attack last week.,0.4089
Donald Trump announced that Roche will launch a vaccine for coronavirus next Sunday.,Video shows Donald Trump announcing the launch of coronavirus vaccines by Roche Medical Company.,0.4477
"While coronavirus tests in other countries are conducted for free or at nominal charges, in India, it costs Rs 4,500
",Coronavirus testing is expensive in India,0.2186
"While coronavirus tests in other countries are conducted for free or at nominal charges, in India, it costs Rs 4,500
",Covid-19 testing fees in different countries,0.0735
"Dr. Charles Lieber, a Harvard professor, was arrested for creating coronavirus and selling it to China.",US authorities have arrested the man who manufactured and sold the novel coronavirus to China,0.2748
"Dr. Charles Lieber, a Harvard professor, was arrested for creating coronavirus and selling it to China.",US authorities have arrested the man who manufactured and sold the novel coronavirus to China,0.2748
All employees of a Punjab National Bank branch at Ghaziabad's Loni have been found corona positive.,"Bank staff in PNB, Loni, Ghaziabad are corona positive",0.215
Video of Muslim woman being brutally beaten up in India.,Video of a Muslim woman being beaten by police in India,0.6818
Coca-Cola sold just 25 bottles in its first year.,Coca-Cola sold just 25 bottles in its first year but kept going.,0.967
Coca-Cola sold just 25 bottles in its first year.,Coca-Cola sold 25 bottles in its first year.,0.9041
Video shows King of Bahrain arriving in Dubai with his robot bodyguard.,Video shows King of Bahrain arriving in Dubai with his robot bodyguard.,0.9998
Video shows King of Bahrain arriving in Dubai with his robot bodyguard.,King of Bahrain arrives in Dubai with his robot bodyguard,0.787
Video shows King of Bahrain arriving in Dubai with his robot bodyguard.,Video shows King of Bahrain arriving in Dubai with his robot bodyguard.,0.9998
Pigeon visited lonely patient in hospital,The photo shows a pigeon who comforted an elderly man with dementia,0.0758
"Rare clip of Bruce Lee playing ping-pong with Nunchaku
",Bruce Lee playing table tennis with nunchucks.,0.4213
A Hindu woman in Bangladesh is being converted to Islam,Video of Muslims converting Hindu woman into Islam,0.3221
This is the video of 'Made in India' double-decker metro train coaches in Australia.,22 metro trains made in India are running in Sydney metro,0.24
"Lions released on Russian streets by Vladimir Putin to force people inside
",The claim: Russian President Vladimir Putin has released 800 tigers and lions to force people to stay inside their homes to combat COVID-19,0.5214
"Kalonji or Nigella Sativa seeds have 100 per cent hydroxychloroquine, and its consumption with honey can prevent coronavirus.",Kalonji seeds can prevent coronavirus,0.2411
Mumbai's popular Wibs bread company has been sealed after its workers tested positive for coronavirus. People should not consume their bread.,WIBS bread factory sealed as one of the employee has been tested positive for coronavirus,0.3562
Mumbai's popular Wibs bread company has been sealed after its workers tested positive for coronavirus. People should not consume their bread.,Wibs Company is sealed due to Corona virus positive worker,0.1106
Mumbai's popular Wibs bread company has been sealed after its workers tested positive for coronavirus. People should not consume their bread.,WIBs bread company is seal Massage from Mumbai wibs bread worker are positive,0.2323
All employees of Punjab National Bank in Loni in Ghaziabad have tested positive for coronavirus,"The entire Punjab National bank staff in Loni, Ghaziabad found #Covid-19 positive. One of the office boys who ran alcohol errands for the staff, turned out to be the carrier... As are the long #liquor queues",0.3889
Tamil Nadu DMK party leader Selvakumar kicked a lady doctor on duty,A DMK leader Selvakumar assaulted a lady doctor,0.4849
Tamil Nadu DMK party leader Selvakumar kicked a lady doctor on duty,Video of a DMK leader Selvakumar assaulting a lady doctor,0.4767
Tamil Nadu DMK party leader Selvakumar kicked a lady doctor on duty,Video of a DMK leader Selvakumar assaulting a lady doctor,0.4767
Dalit woman beaten up in Uttar Pradesh for drawing water from upper caste well.,Woman beaten for being a Dalit,0.2238
"After destroying the world economy, WHO has now taken a U-turn, saying asymptomatic Covid-19 cases rarely spread the disease.","WHO says asymptomatic coronavirus patients do not need to be isolated, quarantined or social distanced",0.1475
King of Bahrain arrives in Dubai with his robot bodyguard fitted 360 with cameras and inbuilt pistols,King of Bahrain arrives in Dubai with his robot bodyguard,0.6052
King of Bahrain arrives in Dubai with his robot bodyguard fitted 360 with cameras and inbuilt pistols,The King of Bahrain has a body guard that has 360 cameras and pistols built inside of it,0.2805
